Date,Open,High,Low,Close    Close price adjusted for splits.,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
May 4 2020,23444.0,23444.0,23071.6465,23444.0,23444.0,-
May 1 2020,22910.6992,23444.0,22910.6992,23444.0,23444.0,-
Apr 30 2020,23444.0,23444.0,23063.5547,23444.0,23444.0,-
Apr 29 2020,23444.0,23444.0,23070.3633,23444.0,23444.0,-
Apr 28 2020,23441.0,23444.0,23082.2969,23441.0,23441.0,-
Apr 27 2020,23441.0,23441.0,23095.9961,23441.0,23441.0,-
Apr 24 2020,23136.8711,23441.0,23136.8711,23441.0,23441.0,-
Apr 23 2020,23256.4375,23441.0,23107.7871,23441.0,23441.0,-
Apr 22 2020,23441.0,23441.0,23039.3008,23441.0,23441.0,-
Apr 21 2020,23096.4063,23441.0,23096.4063,23441.0,23441.0,-
Apr 20 2020,23441.0,23441.0,23003.0156,22972.873,22972.873,-
Apr 17 2020,23441.0,23441.0,23052.3633,23441.0,23441.0,-
Apr 16 2020,23441.0,23441.0,23087.8848,23441.0,23441.0,-
Apr 15 2020,23018.25,23449.0,23018.25,23449.0,23449.0,-
Apr 14 2020,23631.0,23631.0,22988.043,23631.0,23631.0,-
Apr 13 2020,23631.0,23631.0,22922.0391,23631.0,23631.0,-
Apr 10 2020,23631.0,23631.0,22984.9902,23631.0,23631.0,-
Apr 9 2020,23631.0,23631.0,23115.1289,23631.0,23631.0,-
Apr 8 2020,23631.0,23631.0,23108.4902,23631.0,23631.0,-
Apr 7 2020,23631.0,23631.0,23092.9785,23631.0,23631.0,-
Apr 6 2020,23631.0,23631.0,23078.8457,23631.0,23631.0,-
Apr 3 2020,23394.8066,23631.0,23197.5449,23631.0,23631.0,-
Apr 2 2020,23631.0,23631.0,23230.4688,23631.0,23631.0,-
Apr 1 2020,23631.0,23631.0,23077.2363,23631.0,23631.0,-
Mar 31 2020,23631.0,23631.0,23293.4551,23631.0,23631.0,-
Mar 30 2020,23244.0,23631.0,23244.0,23010.3379,23010.3379,-
Mar 27 2020,23244.0,23262.1953,23120.9629,23244.0,23244.0,-
Mar 26 2020,23244.0,23310.9531,23029.6367,23244.0,23244.0,-
Mar 25 2020,23244.0,23341.8457,23222.8535,23244.0,23244.0,-
Mar 24 2020,22938.0625,23291.0918,22938.0625,23244.0,23244.0,-
Mar 23 2020,23244.0,23244.0,23001.2441,23244.0,23244.0,-
Mar 20 2020,23244.0,23244.0,23040.8691,23244.0,23244.0,-
Mar 19 2020,23244.0,23244.0,23244.0,23244.0,23244.0,-
Mar 18 2020,23244.0,23244.0,22902.1035,23244.0,23244.0,-
Mar 17 2020,23204.0,23244.0,22893.8828,23204.0,23204.0,-
Mar 16 2020,23204.0,23204.0,22851.4766,23204.0,23204.0,-
Mar 13 2020,22945.0605,23204.0,22839.5313,23204.0,23204.0,-
Mar 12 2020,22842.7012,23204.0,22814.0195,23204.0,23204.0,-
Mar 11 2020,23204.0,23204.0,22786.7285,23204.0,23204.0,-
Mar 10 2020,22860.1484,23204.0,22829.7969,23204.0,23204.0,-
Mar 9 2020,23204.0,23204.0,22840.625,23204.0,23204.0,-
Mar 6 2020,22730.123,23204.0,22730.123,23204.0,23204.0,-
Mar 5 2020,23204.0,23204.0,22841.6445,23204.0,23204.0,-
Mar 4 2020,23234.0,23234.0,22751.1875,23234.0,23234.0,-
Mar 3 2020,23234.0,23234.0,22845.709,23234.0,23234.0,-
Mar 2 2020,23234.0,23234.0,22866.4648,23234.0,23234.0,-
Feb 28 2020,22787.5859,23240.0,22787.5859,23240.0,23240.0,-
Feb 27 2020,23240.0,23240.0,22837.748,23240.0,23240.0,-
Feb 26 2020,23235.0,23240.0,22824.4824,23235.0,23235.0,-
Feb 25 2020,23235.0,23235.0,22799.5449,23235.0,23235.0,-
Feb 24 2020,23235.0,23235.0,22878.1328,23235.0,23235.0,-
Feb 21 2020,23235.0,23235.0,22875.1172,23235.0,23235.0,-
Feb 20 2020,23235.0,23235.0,22836.6426,23235.0,23235.0,-
Feb 19 2020,23235.0,23235.0,22853.5684,23235.0,23235.0,-
Feb 18 2020,23237.0,23237.0,22879.0039,23237.0,23237.0,-
Feb 17 2020,23237.0,23237.0,22857.4844,23237.0,23237.0,-
Feb 14 2020,23237.0,23237.0,22877.707,23237.0,23237.0,-
Feb 13 2020,23237.0,23237.0,22875.5137,23237.0,23237.0,-
Feb 12 2020,23237.0,23237.0,22864.0508,23237.0,23237.0,-
Feb 11 2020,22971.0977,23237.0,22873.8984,23237.0,23237.0,-
Feb 10 2020,23237.0,23237.0,22898.2949,23237.0,23237.0,-
Feb 7 2020,22895.4102,23237.0,22866.5332,23237.0,23237.0,-
Feb 6 2020,23237.0,23237.0,22861.8965,23237.0,23237.0,-
Feb 5 2020,22906.3633,23237.0,22855.7422,23237.0,23237.0,-
Feb 4 2020,22902.7363,23237.0,22886.3594,23182.0,23182.0,-
Feb 3 2020,23182.0,23182.0,22895.0781,23182.0,23182.0,-
Jan 31 2020,23182.0,23182.0,22808.5684,23182.0,23182.0,-
Jan 30 2020,23171.0,23182.0,22786.6953,23171.0,23171.0,-
Jan 29 2020,23171.0,23171.0,22795.1055,23171.0,23171.0,-
Jan 28 2020,22816.5684,23171.0,22808.0449,23171.0,23171.0,-
Jan 27 2020,23171.0,23171.0,22811.084,23171.0,23171.0,-
Jan 24 2020,22881.8242,23171.0,22812.4473,23171.0,23171.0,-
Jan 23 2020,23171.0,23171.0,22787.4238,23171.0,23171.0,-
Jan 22 2020,23171.0,23171.0,22806.3457,23171.0,23171.0,-
Jan 21 2020,23171.0,23171.0,22798.1523,23171.0,23171.0,-
Jan 20 2020,23171.0,23171.0,22809.668,23171.0,23171.0,-
Jan 17 2020,23171.0,23171.0,22812.8184,23171.0,23171.0,-
Jan 16 2020,23171.0,23171.0,22805.0918,23171.0,23171.0,-
Jan 15 2020,22818.3281,23171.0,22809.6914,23171.0,23171.0,-
Jan 14 2020,22781.4336,23171.0,22781.4336,23171.0,23171.0,-
Jan 13 2020,23171.0,23171.0,22759.1328,22761.6914,22761.6914,-
Jan 10 2020,22809.2441,23171.0,22809.2441,23171.0,23171.0,-
Jan 9 2020,23171.0,23171.0,22805.959,23171.0,23171.0,-
Jan 8 2020,22863.6191,23171.0,22812.4473,23171.0,23171.0,-
Jan 7 2020,23171.0,23171.0,22822.3105,23171.0,23171.0,-
Jan 6 2020,22744.1504,23171.0,22744.1504,23171.0,23171.0,-
Jan 3 2020,23171.0,23171.0,22812.9121,23171.0,23171.0,-
Jan 2 2020,22835.8008,23171.0,22805.6055,23171.0,23171.0,-
Jan 1 2020,23171.0,23171.0,23171.0,23171.0,23171.0,-
Dec 31 2019,22790.7871,23171.0,22790.7871,23171.0,23171.0,-
Dec 30 2019,22731.6191,23171.0,22731.6191,23171.0,23171.0,-
Dec 27 2019,22759.9063,23171.0,22759.9063,23171.0,23171.0,-
Dec 26 2019,22783.3027,23171.0,22783.3027,23171.0,23171.0,-
Dec 25 2019,23171.0,23171.0,23171.0,23171.0,23171.0,-
Dec 24 2019,23171.0,23171.0,22816.1191,23171.0,23171.0,-
Dec 23 2019,22856.2402,23171.0,22815.3691,23171.0,23171.0,-
Dec 20 2019,23171.0,23171.0,22811.4512,23171.0,23171.0,-
Dec 19 2019,23171.0,23171.0,22800.1387,23171.0,23171.0,-
Dec 18 2019,22846.8906,23171.0,22815.6504,23171.0,23171.0,-
Dec 17 2019,23171.0,23171.0,22817.7227,23171.0,23171.0,-
Dec 16 2019,22918.5215,23171.0,22918.5215,23171.0,23171.0,-
Dec 13 2019,22732.9902,23171.0,22732.9902,23171.0,23171.0,-
Dec 12 2019,23171.0,23171.0,22701.8867,23171.0,23171.0,-
Dec 11 2019,22790.8223,23171.0,22790.8223,23171.0,23171.0,-
Dec 10 2019,22828.1699,23171.0,22816.1211,23171.0,23171.0,-
Dec 9 2019,22889.1797,23171.0,22889.1797,23171.0,23171.0,-
Dec 6 2019,22781.002,23171.0,22781.002,23171.0,23171.0,-
Dec 5 2019,22783.0742,23171.0,22783.0742,23171.0,23171.0,-
Dec 4 2019,22795.627,23207.0,22795.627,23207.0,23207.0,-
Dec 3 2019,23207.0,23207.0,22678.3633,23207.0,23207.0,-
Dec 2 2019,22768.2129,23207.0,22768.2129,22771.5176,22771.5176,-
Nov 29 2019,22820.9434,23207.0,22810.8535,23207.0,23207.0,-
Nov 28 2019,23207.0,23207.0,22839.0938,23207.0,23207.0,-
Nov 27 2019,23207.0,23207.0,22844.707,23207.0,23207.0,-
Nov 26 2019,22848.3457,23207.0,22827.3203,23207.0,23207.0,-
Nov 25 2019,22922.2051,23207.0,22836.2109,23207.0,23207.0,-
Nov 22 2019,23207.0,23207.0,22831.8926,23207.0,23207.0,-
Nov 21 2019,22798.3535,23207.0,22798.3535,23207.0,23207.0,-
Nov 20 2019,22838.5234,23207.0,22836.1875,23207.0,23207.0,-
Nov 19 2019,23207.0,23207.0,22827.9238,23207.0,23207.0,-
Nov 18 2019,22789.9629,23207.0,22780.2793,22802.7461,22802.7461,-
Nov 15 2019,22764.6035,23207.0,22764.6035,23207.0,23207.0,-
Nov 14 2019,22839.623,23207.0,22834.918,23207.0,23207.0,-
Nov 13 2019,22853.8984,23207.0,22842.1133,23207.0,23207.0,-
Nov 12 2019,22822.2656,23207.0,22822.2656,23207.0,23207.0,-
Nov 11 2019,22858.752,23207.0,22816.4746,23207.0,23207.0,-
Nov 8 2019,23207.0,23207.0,22824.7773,23207.0,23207.0,-
Nov 7 2019,22864.6289,23207.0,22843.7305,23207.0,23207.0,-
Nov 6 2019,22939.1777,23207.0,22838.6328,23207.0,23207.0,-
Nov 5 2019,22913.0254,23207.0,22840.8477,23207.0,23207.0,-
Nov 4 2019,22832.7969,23207.0,22832.7969,23207.0,23207.0,-
Nov 1 2019,22837.5996,23207.0,22837.5996,23207.0,23207.0,-
Oct 31 2019,22741.5254,23207.0,22741.5254,23207.0,23207.0,-
Oct 30 2019,22784.6953,23207.0,22784.6953,23207.0,23207.0,-
Oct 29 2019,22839.5586,23207.0,22836.8047,23207.0,23207.0,-
Oct 28 2019,22905.4824,23207.0,22835.752,23207.0,23207.0,-
Oct 25 2019,22891.3594,23207.0,22841.5898,23207.0,23207.0,-
Oct 24 2019,22792.4727,23207.0,22792.4727,23207.0,23207.0,-
Oct 23 2019,22870.4668,23207.0,22842.5332,23207.0,23207.0,-
Oct 22 2019,22870.8496,23207.0,22845.4238,23207.0,23207.0,-
Oct 21 2019,22796.8262,23207.0,22796.8262,23207.0,23207.0,-
